id;code;nom;description;prix_achat;qte;qte_alert;status;date_creation
1;Buckinghamshire;fo9ia ;copy lavender;47404;9727;49326;Movies Re-contextualized Home;2023-05-14
2;system microchip AGP;cherbil;Languedoc-Roussillon invoice dominicaine;29638;4247;29186;transparent;2023-05-13
3;des transmitting c;B berad;Outdoors;63963;5895;34416;Licensed SAS Poitou-Charentes;2023-05-13
4;copying;grow matrix a;Small capacitor;71998;64010;73318;Shoes Dinar Compatible;2023-05-14
5;a impactful withdrawal;auxiliary yellow solid;back generate;65341;82658;23420;synergistic back Account;2023-05-14
6;Cambridgeshire;circuit;Franc;51435;45819;74860;Huchette Programmable human-resource;2023-05-14
7;Handmade Wooden;quantifying Aquitaine interactive;Loan;421;5493;61207;Rubber sensor;2023-05-14
8;Concrete generating;deposit transition;monitoring;7965;6095;65573;frictionless;2023-05-14
9;c;Syrian;zero invoice;33405;94400;84781;Royaume-Uni;2023-05-14
10;black;Cotton;bricks-and-clicks Focused virtual;11267;59609;31689;markets;2023-05-14
