id;code;ville;adresse;activite;nom;description
1;Pound c override;withdrawal plum Directeur;SQL Computers;Small matrix seamless;synthesize Home hybrid;hack mindshare Lorraine
2;Gorgeous Bedfordshire;back Frozen;b Harpe;b Tasty;Checking c;a
3;Dominique;Account;Cotton blue Tuna;Home Seine;deposit Electronics;initiatives Basse-Normandie open-source
4;Corse Executif Cotton;Assistant Avon pink;withdrawal;Shoes;Granite;back Irlande best-of-breed
5;monitoring Auvergne;directional content;Shoes;payment Loan;Producteur Bretagne;system
6;Licensed Account generate;transmitter Îles;Avon metrics;Ergonomic c;Buckinghamshire;harness Zadkine redundant
7;expedite primary;Garden Stagiaire;b Colombie Cheese;platforms;24/365;Keyboard Auto leading-edge
8;connect generate withdrawal;Specialiste;eyeballs copy;Organized Analyste plum;Buckinghamshire Pound;Buckinghamshire Bacon Yen
9;green a programming;transparent Account Pakistan;Picardie;best-of-breed approach;Laffitte Steel Operative;Steel Leone
10;port;Practical withdrawal;Buckinghamshire Rubber hack;Technicien c;benchmark Home copy;Investment generating olive
