id;quantity;rate;prix_vente;status
1;function;Streamlined withdrawal Delesseux;13171;STATUS1
2;paradigms;Money;77503;STATUS1
3;application Ball;Re-contextualized Intelligent Dollar;85435;STATUS1
4;Maurice Grocery c;Licensed turn-key;51859;STATUS1
5;e-markets Pants;Kids;28401;STATUS1
6;Investment Small Tuna;Outdoors JBOD;92470;STATUS1
7;navigating reboot generating;override redundant improvement;44408;STATUS1
8;next array;Fresh User leading-edge;81047;STATUS1
9;haptic Sports Sausages;Rhône-Alpes;91012;STATUS1
10;Monaco Montmorency Licensed;transmit Cambridgeshire;96193;STATUS1
